place,number,lat,lon

Australian,3,-27,133
Austrian,1,47.3333,13.3333
Belgian,1,50.8333,4.0
Brazilian,1,-10.0,-55.0
British,19,53.347806,-2.062500
South African,1,-29,24
Danish,1,56,10
French,2,46,2
Indian,1,20,77
Irish,1,53,-8.0
Japanese,3,36,138
Kuwait,1,29.3375,47.6581
Malaysia,3,2.5,112.5
New Zealand,1,-41,174
Nigerian,5,10,8
Norwegian,1,62,10
Oman,1,21,57
Philippines,1,13,122
Polish,1,52,20
Qatari,2,25.5,51.25
Russian,1,60,100
UAE,1,24,54
