place,number,lat,lon

United Kingdom,31,53.347806,-2.062500
West Europe,11,48.229842,11.434326
East Asia,9,33.144049,113.739014
North America,7,1,48.463498,-96.495361
South East Asia,7,3.521166,115.145264
South Asia,3,21.739091,77.167969
Latin America & the Caribbean,3,20.591652,-75.937500
Africa,2,5.747174,21.972656
Australasia,2,-23.120154,135.175781
East Europe,2,50.838901,26.542969
Middle East,2,29.343875,42.714844
